aX,aY,aZ,gX,gY,gZ
0.644,-1.156,1.865,380.615,2.014,-136.902
0.757,-1.084,2.336,376.221,-6.958,-125.549
0.740,-0.952,2.869,361.084,-15.076,-113.708
0.644,-0.785,3.354,331.482,-14.709,-106.750
0.629,-0.596,3.679,288.086,3.174,-108.582
0.533,-0.390,3.937,240.479,33.630,-116.943
0.546,-0.286,4.000,198.975,72.388,-124.084
0.607,-0.214,4.000,160.767,106.140,-128.296
0.407,-0.106,4.000,122.009,120.239,-129.517
0.520,0.124,4.000,82.153,128.479,-134.827
0.616,0.297,4.000,40.527,135.437,-130.310
0.376,0.498,3.980,-13.306,95.154,-117.615
0.175,0.500,3.832,-59.998,72.754,-112.244
0.426,0.474,3.629,-98.145,81.360,-125.732
0.631,0.529,3.428,-137.268,69.336,-129.395
0.684,0.441,3.180,-171.936,47.913,-117.554
0.702,0.400,2.950,-197.388,40.100,-105.591
0.755,0.448,2.797,-216.492,42.114,-99.243
0.722,0.492,2.696,-235.229,46.021,-91.064
0.710,0.479,2.560,-261.841,52.368,-80.017
0.731,0.447,2.433,-293.396,61.157,-68.237
0.673,0.375,2.252,-324.097,65.918,-55.847
0.602,0.252,1.977,-356.689,72.510,-46.265
0.604,0.123,1.632,-389.526,88.318,-38.086
0.596,0.009,1.266,-415.894,104.797,-28.381
0.552,-0.090,0.906,-434.875,114.136,-17.151
0.519,-0.171,0.526,-446.777,116.150,-5.127
0.496,-0.228,0.216,-450.806,109.924,6.958
0.469,-0.299,-0.062,-447.815,96.252,15.503
0.444,-0.356,-0.296,-442.139,81.543,19.897
0.429,-0.409,-0.519,-434.937,69.214,22.705
0.433,-0.448,-0.748,-424.683,58.960,26.001
0.442,-0.470,-0.997,-410.950,47.729,29.663
0.464,-0.495,-1.259,-392.822,34.180,35.339
0.446,-0.502,-1.511,-367.554,19.958,42.175
0.429,-0.538,-1.730,-337.280,10.437,48.950
0.404,-0.601,-1.926,-304.932,11.414,52.979
0.436,-0.679,-2.146,-269.653,26.062,51.819
0.349,-0.688,-2.318,-229.126,53.833,45.715
0.369,-0.672,-2.510,-187.317,95.398,33.020
0.386,-0.646,-2.676,-134.155,136.414,20.264
0.427,-0.622,-2.720,-69.641,167.114,10.498
0.458,-0.612,-2.595,2.930,182.983,4.639
0.469,-0.654,-2.309,76.843,188.599,3.784
0.469,-0.724,-1.970,141.418,189.087,5.981
0.464,-0.801,-1.642,191.833,187.805,9.033
0.445,-0.881,-1.369,231.628,186.401,12.024
0.403,-0.954,-1.139,263.733,184.021,13.855
0.340,-1.038,-0.943,292.053,180.298,13.367
0.305,-1.125,-0.771,317.871,175.293,10.376
0.297,-1.214,-0.582,344.727,167.175,5.249
0.312,-1.292,-0.349,373.535,154.907,-1.526
0.385,-1.340,-0.053,403.687,140.503,-9.155
0.496,-1.328,0.316,434.021,123.413,-16.602
0.623,-1.279,0.781,457.886,103.333,-22.034
0.780,-1.134,1.315,463.074,83.008,-26.672
0.924,-0.932,1.842,447.449,65.186,-26.062
0.973,-0.711,2.263,416.138,51.208,-15.076
0.920,-0.533,2.505,378.296,38.635,4.517
0.718,-0.395,2.719,347.290,16.418,32.166
0.451,-0.276,3.004,326.599,-20.325,59.265
0.062,-0.115,3.376,305.237,-63.293,78.247
-0.119,0.033,3.715,271.729,-88.135,79.468
-0.137,0.202,3.890,218.567,-85.693,62.439
-0.143,0.433,3.932,152.222,-60.913,30.151
-0.109,0.635,3.749,89.050,-6.287,-4.883
0.062,0.685,3.340,38.879,64.941,-31.616
0.190,0.697,2.867,1.160,115.967,-45.532
0.236,0.688,2.487,-22.827,131.653,-48.462
0.261,0.675,2.185,-36.194,124.817,-46.204
0.179,0.627,1.973,-42.480,108.948,-41.382
0.451,0.662,1.717,-42.786,97.900,-33.936
0.390,0.449,1.589,-43.274,80.261,-15.747
0.233,0.469,1.451,-53.589,37.415,-15.076
0.122,0.478,1.300,-57.861,5.127,-11.841
0.192,0.409,1.140,-49.683,10.132,-8.484
0.209,0.355,0.989,-44.800,18.433,-6.470
0.169,0.325,0.879,-42.908,21.667,-6.104
0.148,0.307,0.791,-38.696,22.949,-8.179
0.159,0.298,0.742,-32.349,21.118,-9.583
0.177,0.291,0.725,-25.024,16.113,-10.254
0.197,0.295,0.733,-18.921,11.414,-11.108
0.224,0.303,0.743,-14.282,9.521,-11.963
0.254,0.307,0.746,-11.047,8.362,-12.756
0.283,0.315,0.738,-8.484,6.226,-13.794
0.310,0.328,0.720,-6.531,2.258,-13.916
0.339,0.339,0.702,-3.418,-3.784,-11.841
0.362,0.348,0.689,-0.122,-10.681,-8.240
0.366,0.363,0.687,4.700,-16.907,-3.906
0.365,0.370,0.686,8.484,-20.508,1.099
0.347,0.376,0.692,11.780,-22.461,5.981
