aX,aY,aZ,gX,gY,gZ
-1.290,-0.823,-0.622,42.542,-329.163,-232.910
-1.335,-1.141,-0.229,79.346,-380.066,-240.845
-1.271,-1.577,0.378,111.145,-425.049,-243.225
-1.140,-2.114,1.244,125.610,-454.407,-229.675
-0.880,-2.557,2.359,118.347,-461.121,-193.420
-0.460,-2.639,3.396,82.642,-430.176,-134.155
-0.219,-2.324,3.855,18.066,-364.380,-64.697
-0.033,-1.900,3.841,-49.072,-294.495,-3.113
-0.220,-1.393,3.727,-81.970,-245.911,30.823
-0.248,-1.017,3.592,-66.345,-206.116,21.362
-0.152,-0.858,3.526,-20.142,-168.091,-12.756
0.055,-0.862,3.469,23.621,-128.235,-45.532
0.217,-0.876,3.396,43.945,-89.050,-58.228
0.340,-0.746,3.336,38.513,-47.485,-49.500
0.330,-0.510,3.180,19.714,-10.132,-31.433
0.237,-0.270,2.961,5.188,28.137,-18.433
0.128,-0.092,2.750,4.883,62.927,-17.822
0.047,-0.002,2.572,11.902,85.693,-26.550
-0.018,0.036,2.442,16.113,100.342,-35.339
-0.082,0.019,2.397,12.329,108.154,-40.894
-0.071,-0.028,2.431,-1.770,114.075,-41.565
-0.052,-0.061,2.502,-26.245,123.535,-36.194
-0.029,-0.093,2.564,-54.749,139.709,-28.198
-0.045,-0.042,2.572,-77.393,164.673,-21.057
-0.136,0.091,2.509,-84.229,193.604,-18.005
-0.204,0.202,2.410,-75.012,218.201,-22.644
-0.242,0.290,2.296,-58.960,235.840,-32.532
-0.260,0.351,2.150,-43.274,248.596,-43.823
-0.310,0.396,2.019,-33.875,262.329,-53.589
-0.337,0.377,1.904,-32.166,273.865,-59.814
-0.354,0.404,1.839,-39.368,281.555,-63.904
-0.380,0.389,1.795,-51.270,289.551,-65.308
-0.390,0.329,1.787,-67.383,299.072,-66.650
-0.340,0.289,1.821,-85.999,311.035,-69.336
-0.375,0.303,1.734,-102.600,329.712,-72.632
-0.427,0.313,1.556,-113.037,353.760,-81.055
-0.514,0.283,1.368,-115.540,376.892,-94.177
